Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,2Pl,,Neu,Neg,maajiibatoosiweg,<<maajiibatoo>>siweg,JDN-2010-MS-VAI-p24,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,2Pl,,Neu,Neg,madaabiisiweg,<<madaabii>>siweg,JDN-2010-MS-VAI-p24,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,2Pl,,Neu,Neg,minongwaanziweg,<<minongwaan>>ziweg,JDN-2010-MS-VAI-p24,,,
VAI,Cnj,VAI_V,nagamo,nagamo,2Pl,,Neu,Neg,nagamosiweg,<<nagamo>>siweg,JDN-2010-MS-VAI-p24,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,2Pl,,Neu,Neg,nibaasiweg,<<nibaa>>siweg,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p24,,,
VAI,Cnj,VAI_V,niimi,niimi,2Pl,,Neu,Neg,niimisiweg,<<niimi>>siweg,JDN-2010-MS-VAI-p24,,,
VAI,Cnj,VAI_n,wanishin,wanishin,2Pl,,Neu,Neg,wanishinziweg,<<wanishin>>ziweg,JDN-2010-MS-VAI-p24,,,
VAI,Cnj,VAI_VV,webinige,webinige,2Pl,,Neu,Neg,webinigesiweg,<<webinige>>siweg,JDN-2010-MS-VAI-p24,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',2Pl,,Neu,Neg,zaaga'anziweg,<<zaaga'>>anziweg,JDN-2010-MS-VAI-p24,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,2Pl,,Neu,Pos,maajiibatooyeg,<<maajiibatoo>>yeg,JDN-2010-MS-VAI-p23,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,2Pl,,Neu,Pos,madaabiiyeg,<<madaabii>>yeg,JDN-2010-MS-VAI-p23,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,2Pl,,Neu,Pos,minongwaameg,<<minongwaam>>eg,JDN-2010-MS-VAI-p23,,,
VAI,Cnj,VAI_V,nagamo,nagamo,2Pl,,Neu,Pos,nagamoyeg,<<nagamo>>yeg,JDN-2010-MS-VAI-p23,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,2Pl,,Neu,Pos,nibaayeg,<<nibaa>>yeg,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p23,,,
VAI,Cnj,VAI_V,niimi,niimi,2Pl,,Neu,Pos,niimiyeg,<<niimi>>yeg,JDN-2010-MS-VAI-p23,,,
VAI,Cnj,VAI_n,wanishin,wanishin,2Pl,,Neu,Pos,wanishineg,<<wanishin>>eg,JDN-2010-MS-VAI-p23,,,
VAI,Cnj,VAI_VV,webinige,webinige,2Pl,,Neu,Pos,webinigeyeg,<<webinige>>yeg,JDN-2010-MS-VAI-p23,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',2Pl,,Neu,Pos,zaaga'ameg,<<zaaga'>>ameg,JDN-2010-MS-VAI-p23,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,2Pl,,Prt,Neg,maajiibatoosiwegiban,<<maajiibatoo>>siwegiban,JDN-2010-MS-VAI-p28,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,2Pl,,Prt,Neg,madaabiisiwegiban,<<madaabii>>siwegiban,JDN-2010-MS-VAI-p28,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,2Pl,,Prt,Neg,minongwaanziwegiban,<<minongwaan>>ziwegiban,JDN-2010-MS-VAI-p28,,,
VAI,Cnj,VAI_V,nagamo,nagamo,2Pl,,Prt,Neg,nagamosiwegiban,<<nagamo>>siwegiban,JDN-2010-MS-VAI-p28,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,2Pl,,Prt,Neg,nibaasiwegiban,<<nibaa>>siwegiban,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p28,,,
VAI,Cnj,VAI_V,niimi,niimi,2Pl,,Prt,Neg,niimisiwegiban,<<niimi>>siwegiban,JDN-2010-MS-VAI-p28,,,
VAI,Cnj,VAI_n,wanishin,wanishin,2Pl,,Prt,Neg,wanishinziwegiban,<<wanishin>>ziwegiban,JDN-2010-MS-VAI-p28,,,
VAI,Cnj,VAI_VV,webinige,webinige,2Pl,,Prt,Neg,webinigesiwegiban,<<webinige>>siwegiban,JDN-2010-MS-VAI-p28,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',2Pl,,Prt,Neg,zaaga'anziwegiban,<<zaaga'>>anziwegiban,JDN-2010-MS-VAI-p28,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,2Pl,,Prt,Pos,maajiibatooyegiban,<<maajiibatoo>>yegiban,JDN-2010-MS-VAI-p27,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,2Pl,,Prt,Pos,madaabiiyegiban,<<madaabii>>yegiban,JDN-2010-MS-VAI-p27,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,2Pl,,Prt,Pos,minongwaamegiban,<<minongwaam>>egiban,JDN-2010-MS-VAI-p27,,,
VAI,Cnj,VAI_V,nagamo,nagamo,2Pl,,Prt,Pos,nagamoyegiban,<<nagamo>>yegiban,JDN-2010-MS-VAI-p27,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,2Pl,,Prt,Pos,nibaayegoban,<<nibaa>>yegoban,NJ-ngs-2023Aug18,nibaayegiban,<<nibaa>>yegiban,JDN-2010-MS-VAI-p27
VAI,Cnj,VAI_V,niimi,niimi,2Pl,,Prt,Pos,niimiyegoban,<<niimi>>yegoban,NJ-ngs-2023Aug18,niimiyegiban,<<niimi>>yegiban,JDN-2010-MS-VAI-p27
VAI,Cnj,VAI_n,wanishin,wanishin,2Pl,,Prt,Pos,wanishinegoban,<<wanishin>>egoban,NJ-ngs-2023Aug18,wanishinegiban,<<wanishin>>egiban,JDN-2010-MS-VAI-p27
VAI,Cnj,VAI_VV,webinige,webinige,2Pl,,Prt,Pos,webinigeyegoban,<<webinige>>yegoban,NJ-ngs-2023Aug18,webinigeyegiban,<<webinige>>yegiban,JDN-2010-MS-VAI-p27
VAI,Cnj,VAI_am,zaaga'am,zaaga',2Pl,,Prt,Pos,zaaga'amegoban,<<zaaga'>>amegoban,NJ-ngs-2023Aug18,zaaga'amegiban,<<zaaga'>>amegiban,JDN-2010-MS-VAI-p27
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,2Sg,,Dub,Neg,maajiibatoosiiwanen,<<maajiibatoo>>siiwanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,2Sg,,Dub,Neg,madaabiisiiwanen,<<madaabii>>siiwanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,2Sg,,Dub,Neg,minongwaanziiwanen,<<minongwaan>>ziiwanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,nagamo,nagamo,2Sg,,Dub,Neg,nagamosiiwanen,<<nagamo>>siiwanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,2Sg,,Dub,Neg,nibaasiiwanen,<<nibaa>>siiwanen,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,niimi,niimi,2Sg,,Dub,Neg,niimisiiwanen,<<niimi>>siiwanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_n,wanishin,wanishin,2Sg,,Dub,Neg,wanishinziiwanen,<<wanishin>>ziiwanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,webinige,webinige,2Sg,,Dub,Neg,webinigesiiwanen,<<webinige>>siiwanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',2Sg,,Dub,Neg,zaaga'anziiwanen,<<zaaga'>>anziiwanen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,2Sg,,Dub,Pos,maajiibatoowanen,<<maajiibatoo>>wanen,JDN-2010-MS-VAI-p31,,,
