Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
VTI,Ind,VTI_am,waabandan,waaband,NONE,2PlSubj,0SgObj,Dub,Pos,giwaabandaanaawaadog,gi<<waaband>>aanaawaadog,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,2PlSubj,0SgObj,Dub,Pos,gimiijinaawaadog,gi<<miiji>>naawaadog,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,2PlSubj,0SgObj,Dub,Pos,giwanitoonaawaadog,gi<<wanit>>oonaawaadog,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,2SgSubj,0SgObj,Dub,Pos,gidayaanaadog,gi<<ayaa>>naadog,JDN-2010-MS-VTI-p19,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,2SgSubj,0SgObj,Dub,Pos,giwaabandaanaadog,gi<<waaband>>aanaadog,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,2SgSubj,0SgObj,Dub,Pos,gimiijinaadog,gi<<miiji>>naadog,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,2SgSubj,0SgObj,Dub,Pos,giwanitoonaadog,gi<<wanit>>oonaadog,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,3PlObvSubj,0SgObj,Dub,Pos,odayaaninaadog,o<<ayaa>>ninaadog,JDN-2010-MS-VTI-p19,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,3PlObvSubj,0SgObj,Dub,Pos,owaabandaminaadog,o<<waaband>>aminaadog,JDN-2010-MS-VTI-p17,owaabandaaninaadog,o<<waaband>>aaninaadog,JDN-2010-MS-VTI-p17,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,3PlObvSubj,0SgObj,Dub,Pos,omiijininaadog,o<<miiji>>ninaadog,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,3PlObvSubj,0SgObj,Dub,Pos,owanitooninaadog,o<<wanit>>ooninaadog,JDN-2010-MS-VTI-p17,,,,,,
