Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
Inan,C-final,jiimaan,<<jiimaan>>,1SgPoss,NA,NA,Pej,NA,Sg,nijiimaanish,ni<<jiimaan>>ish,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,ExclPoss,NA,NA,Pej,NA,Sg,nijiimaanishinaan,ni<<jiimaan>>ishinaan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,InclPoss,NA,NA,Pej,NA,Sg,gijiimaanishinaan,gi<<jiimaan>>ishinaan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2SgPoss,NA,NA,Pej,NA,Sg,gijiimaanish,gi<<jiimaan>>ish,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2PlPoss,NA,NA,Pej,NA,Sg,gijiimaanishiwaa,gi<<jiimaan>>ishiwaa,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgProxPoss,NA,NA,Pej,NA,Sg,ojiimaanish,o<<jiimaan>>ish,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlProxPoss,NA,NA,Pej,NA,Sg,ojiimaanishiwaa,o<<jiimaan>>ishiwaa,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgObvPoss,NA,NA,Pej,NA,Sg,ojiimaanishini,o<<jiimaan>>ishini,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlObvPoss,NA,NA,Pej,NA,Sg,ojiimaanishini,o<<jiimaan>>ishini,GUESS
Inan,C-final,jiimaan,<<jiimaan>>,1SgPoss,NA,NA,Pej,NA,Loc,nijiimaanishing,ni<<jiimaan>>ishing,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,ExclPoss,NA,NA,Pej,NA,Loc,nijiimaanishinaang,ni<<jiimaan>>ishinaang,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,InclPoss,NA,NA,Pej,NA,Loc,gijiimaanishinaang,gi<<jiimaan>>ishinaang,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2SgPoss,NA,NA,Pej,NA,Loc,gijiimaanishing,gi<<jiimaan>>ishing,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2PlPoss,NA,NA,Pej,NA,Loc,gijiimaanishiwaang,gi<<jiimaan>>ishiwaang,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgProxPoss,NA,NA,Pej,NA,Loc,ojiimaanishing,o<<jiimaan>>ishing,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlProxPoss,NA,NA,Pej,NA,Loc,ojiimaanishiwaang,o<<jiimaan>>ishiwaang,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgObvPoss,NA,NA,Pej,NA,Loc,ojiimaanishining,o<<jiimaan>>ishining,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlObvPoss,NA,NA,Pej,NA,Loc,ojiimaanishining,o<<jiimaan>>ishining,GUESS
Inan,C-final,jiimaan,<<jiimaan>>,1SgPoss,NA,Poss,Pej,NA,Pl,nijiimaanimishan,ni<<jiimaan>>imishan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,ExclPoss,NA,Poss,Pej,NA,Pl,nijiimaanimishinaanin,ni<<jiimaan>>imishinaanin,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,InclPoss,NA,Poss,Pej,NA,Pl,gijiimaanimishinaanin,gi<<jiimaan>>imishinaanin,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2SgPoss,NA,Poss,Pej,NA,Pl,gijiimaanimishan,gi<<jiimaan>>imishan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2PlPoss,NA,Poss,Pej,NA,Pl,gijiimaanimishiwaan,gi<<jiimaan>>imishiwaan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgProxPoss,NA,Poss,Pej,NA,Pl,ojiimaanimishan,o<<jiimaan>>imishan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlProxPoss,NA,Poss,Pej,NA,Pl,ojiimaanimishiwaan,o<<jiimaan>>imishiwaan,JDN-2010-Nouns
